dem,dist2canal,saltwater_max,groundwater_max,gw_duration,degradation
0.49162,2167.071757,-0.313154581,-0.065841097,0.948087432,1
0.23643,2145.367101,0.004312441,0.185173122,0.890410959,1
0.4829,2128.097742,-0.274469471,-0.062764345,0.920547945,1
0.54644,2012.46118,-0.268560184,-0.140773459,1,1
0,2177.016307,0.195966366,0.313152529,0.8,1
0,2206.377121,0.195966366,0.313152529,0.8,1
0,2171.013588,0.195966366,0.313152529,0.8,1
0,2200.454499,0.195966366,0.313152529,0.8,1
0.50026,1909.188309,-0.318726453,-0.082954881,0.243169399,1
0,2121.320344,0.203114534,0.403274556,0.950684932,1
0,2095.065631,0.205069172,0.470450047,0.980821918,1
0.45819,1854.427135,-0.194261549,-0.096431734,0.978082192,1
0,2040,0.255527073,0.489440351,1,1
0,2026.055281,0.255527073,0.489440351,1,1
0.24244,1795.243716,-0.094223397,0.100103451,0.816438356,1
0,1946.535384,0.201403484,0.304730174,0.109589041,1
0,1764.65294,0.271180718,0.351954855,1,1
0,1865.314987,0.201403484,0.304730174,0.109589041,1
0,1851.512895,0.203522919,0.406561873,1,1
0,1784.432683,0.25211411,0.423965022,0.994520548,1
0,1771.016657,0.167569385,0.408244772,1,1
0,1758.010239,0.176351469,0.330938227,1,1
0,1669.790406,0.236121469,0.357504884,1,1
0,1744.133022,0.271969945,0.440351374,0.975342466,1
0,1730.924608,0.271969945,0.440351374,0.975342466,1
0.566,1641.249524,-0.390256132,-0.153128593,1,1
0,1717.352614,0.202958443,0.42798104,1,1
0,1678.392088,0.204151081,0.424874051,1,1
0.42357,1622.498074,-0.219418919,0.001304051,1,1
0.38698,1623.607095,-0.163394227,-0.096750425,0.698630137,1
0,1542.886904,0.257635905,0.311743056,0.271232877,1
0,1530,0.205821388,0.309118956,0.271232877,1
0.32987,1437.810836,-0.098554611,0.006144134,0.219178082,1
0,1449.034161,0.195673771,0.327120221,0.208219178,1
0.53939,1435.618334,-0.416109295,-0.242580526,0.021917808,1
0.46806,1422.708684,-0.312183262,-0.16158617,0.073770492,1
0.54309,1408.722826,-0.347416229,-0.218352768,0.194520548,1
0.40843,1395.564402,-0.202786548,-0.079665789,0.194520548,1
0.69041,1328.49539,-0.534829632,-0.274716599,0.786885246,1
0.33321,1234.382437,-0.194014308,0.02280462,1,1
0.18775,1221.556384,-0.02808022,0.155236538,1,1
0.45733,1326.122166,-0.199177956,-0.04471678,0.624657534,1
0.44794,1308.013761,-0.238815549,-0.060641033,0.608219178,1
0.43321,1194.738465,-0.272265943,-0.093588333,0.366120219,1
0.31563,1157.626883,-0.154685943,0.023991667,0.366120219,1
0.35448,1092.016483,-0.188628621,-0.054480027,0.762295082,1
0.42242,1068.269629,-0.259364802,-0.050132717,0.830601093,1
0,1050,0.163055198,0.368556473,0.816939891,1
0.52136,1041.393297,-0.308717688,-0.241092623,1,1
0.47359,1039.663407,-0.245291817,-0.211267212,1,1
0.33617,1018.233765,-0.141802149,-0.092658594,1,1
0.55906,1019.117265,-0.294868106,-0.286883842,0.630136986,1
0,997.2462083,0.16273637,0.186904004,0.975409836,1
0,934.3446901,0.258194908,0.269045689,1,1
0.00043112,891.9641248,0.169852905,0.197342854,1,1
0,870,0.262675645,0.279391297,1,1
0,848.5281374,0.16273637,0.186904004,0.975409836,1
0.00062531,806.1017306,0.168321464,0.202632123,1,1
0.29701,1790.474797,-0.124107703,0.122823933,1,1
0.36618,763.6753237,-0.201405157,-0.154956212,0.827868852,1
0.21257,742.7651042,-0.065893333,-0.000792976,0.835616438,1
0,722.4956747,0.162127426,0.211977733,0.677595628,1
0.33029,680.1470429,-0.110067063,-0.068746282,0.98630137,1
0.41056,660.6814664,-0.262548315,-0.176692203,0.994520548,1
0.31351,637.8087488,-0.15287583,-0.110193112,0.317808219,1
0.14576,618.4658438,0.022393081,0.062973311,0.289617486,1
0.29521,636.3961031,-0.060911535,-0.036805502,0.42739726,1
0.1724,615.5485359,-0.004162216,0.036018015,0.243169399,1
0.19023,637.8087488,0.044068465,0.068174498,0.389041096,1
0.1403,615.5485359,0.052765773,0.083684136,0.339726027,1
